Rk,Player,Nation,Pos,Club,League,Age,Recov%,Int,Int_rk,Int%,BlkSh,Blksh_rk,Blksh%,BlkPass,BlkPass_rk,BlkPass%,Clr,clr_rk,Clr%,Tkl,Tkl_rk,Tkl%,Press,Press_rk,Press%,Blocks,Blocks_rk,Blocks%
2872,Okay Yokuþlu,TUR,DFMF,Celta Vigo,La Liga,28,96.36861939,3.13,2831,96.95101062,0.63,2470,84.58376156,0.63,889,30.42137718,4.38,2651,92.43111266,1.88,1799,61.59643714,11.9,982,33.60739979,1.25,1284,43.9534087
2873,Okay Yokuþlu,TUR,DFMF,Getafe,La Liga,28,89.79102432,1.15,1373,47.00239808,0.77,2631,90.09934909,0.38,628,21.47995889,3.85,2550,88.90826648,1.73,1651,56.52620761,7.69,447,15.27920521,1.15,1172,40.11647825
2874,Leny Yoro,FRA,MF,Lille,Ligue 1,16,79.75334018,0,1,0,0,1,0,0,1,0,0,1,0,1,871,29.80472765,40,2864,98.08153477,0,1,0
2875,Maya Yoshida,JPN,DF,Sampdoria,Serie A,33,85.26892771,2.36,2570,88.00959233,1.03,2790,95.54642001,0.79,1105,37.82117163,3.89,2561,89.2919428,0.94,817,27.95477903,7.49,431,14.73107229,1.82,2091,71.59986297
2876,Ashley Young,ENG,DFFW,Aston Villa,Premier League,36,39.32853717,1.58,1818,62.24734498,0.29,1887,64.61116821,0.58,820,28.05755396,1.73,1950,67.98046739,2.01,1953,66.87221651,10.4,784,26.82425488,0.86,849,29.05104488
2877,Nathan Young-Coombes,ENG,FW,Brentford,Premier League,19,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,272,9.28400137,0,1,0
2878,Zaydou Youssouf,FRA,MF,Saint-Étienne,Ligue 1,22,82.9393628,1.68,1941,66.46111682,0.17,1509,51.66152792,0.92,1333,45.63206578,0.75,1188,41.40216254,2.89,2559,87.63275094,18.6,2029,69.47584789,1.1,1113,38.0952381
2879,Mattia Zaccagni,ITA,MFFW,Hellas Verona,Serie A,26,13.12093183,1.5,1731,59.26687222,0,1,0,1,1454,49.777321,0,1,0,1.5,1404,48.06440562,9.5,640,21.89105858,1,995,34.05275779
2880,Mattia Zaccagni,ITA,FW,Lazio,Serie A,26,13.9088729,1.3,1517,51.93559438,0.1,1227,42.00068517,1.49,2247,76.94415896,0.34,787,27.41541681,1.63,1545,52.894827,16,1611,55.1558753,1.59,1767,60.50017129
2881,Dan-Axel Zagadou,FRA,DF,Dortmund,Bundesliga,22,97.49914354,2.26,2505,85.78280233,0.57,2391,81.87735526,1.04,1536,52.58650223,4.06,2610,91.00104639,1.6,1518,51.96985269,10.2,752,25.72798904,1.6,1782,61.01404591
2882,Wilfried Zaha,CIV,FW,Crystal Palace,Premier League,29,43.91915039,0.78,1034,35.38883179,0,1,0,0.88,1258,43.0626927,0.13,598,20.8231601,1.56,1476,50.53100377,20.1,2257,77.28674203,0.88,873,29.87324426
2883,Denis Zakaria,SUI,MF,Juventus,Serie A,25,50.59952038,2.12,2383,81.6032888,0.61,2449,83.8643371,1.21,1814,62.11031175,0.76,1199,41.78583886,1.52,1428,48.886605,20,2207,75.57382665,1.82,2091,71.59986297
2884,Denis Zakaria,SUI,MFDF,M'Gladbach,Bundesliga,25,89.34566632,2.39,2587,88.59198356,0.32,1974,67.59164097,2,2685,91.9492977,1.48,1809,63.0624346,1.87,1793,61.39088729,13.9,1275,43.64508393,2.32,2596,88.90030832
2885,Joseba Zaldúa,ESP,DF,Real Sociedad,La Liga,29,52.4837273,0.92,1152,39.43131209,0.38,2092,71.63412127,1.85,2620,89.72250771,2.85,2347,81.82769445,2.92,2577,88.24940048,13.2,1172,40.11647825,2.23,2533,86.74203494
2886,Nicola Zalewski,POL,DF,Roma,Serie A,20,58.92428914,2.73,2743,93.93627955,0.11,1268,43.40527578,1.93,2659,91.05858171,0.91,1354,47.19218696,3.75,2805,96.06029462,20.3,2275,77.90339157,2.05,2390,81.84309695
2887,Andre-Frank Zambo Anguissa,CMR,MF,Napoli,Serie A,26,57.65673176,2.06,2328,79.71908188,0.19,1580,54.09386776,1.12,1671,57.21137376,1.21,1623,56.57481688,2.52,2376,81.36348064,21.9,2440,83.55601233,1.31,1380,47.24220624
2888,Nicolò Zaniolo,ITA,FW,Roma,Serie A,22,26.24186365,0.68,956,32.7166838,0,1,0,0.73,1025,35.08050702,0.27,703,24.48552494,1.23,1128,38.60911271,16.7,1715,58.71873929,0.73,742,25.38540596
2889,Alessandro Zanoli,ITA,DF,Napoli,Serie A,21,45.90613224,2.16,2409,82.4940048,0.2,1623,55.56697499,0.78,1095,37.47858856,2.1.6,#VALUE!,#VALUE!,1.76,1687,57.75950668,14.5,1370,46.89962316,0.98,978,33.47036656
