Rk,Player,Nation,Pos,Club,League,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1336,Boubacar Kamara,FRA,MFDF,Marseille,Ligue 1,22,1999,34,31,2778,30.9,0.03,0.71,0.1,13.6,0.05,0.33,19.5,0,0,0,71.3,78.5,90.8,1288.1,292.9,33.3,35.1,94.8,28.1,30.1,93.3,8.54,11.2,76.5,0,0.61,5.92,0.49,0.1,4.11,78.5,75.8,2.69,1.72,0.16,11.8,2.59,0.39,0,0,0,0,63,6.08,9.42,9.9,64.5,1.78,0.97,0.26,71.3,0.06,1,1.52,0.68,1.42,1.1,0.03,0.03,0.1,0.13,0.03,0.06,0,0,0,0.03,0.03,0,2.62,1.78,1.26,1.2,0.16,0.78,1.68,46.2,0.91,15,5.95,39.7,5.5,7.31,2.17,1.36,0.42,0,0.94,2.1,4.72,1.97,0,88.9,3.2,22.9,55.7,14.1,1.36,86.4,0.45,0.65,70,0.49,0.1,59.9,235.3,112,4.17,0.91,0.06,0.45,0.91,71,68.2,96,1.91,0.16,0,0,1.42,1.46,0,0.39,1.78,0.03,0.03,0,8.93,1.65,1.36,54.8
1337,Hassane Kamara,CIV,MFDF,Nice,Ligue 1,28,1994,11,7,544,6,0,2,0.17,8.3,0,0,17.1,0,0,0,40,49.5,80.8,649,122,19.7,21.8,90.1,17.5,20.2,86.8,2.17,5.83,37.1,0,0.5,0.67,1.17,0.67,2.33,49.5,46.2,3.33,0.5,0.17,6,0.67,2.5,0,0,0,0,36.8,6.67,6,38.3,6.5,1,2.83,0.33,40,0.5,1,1.17,1.67,1.17,1,0,0,0.17,0,0,0.17,0.17,0,0,0,0,0,2.83,1.5,1.17,1,0.67,1.17,1.67,70,0.5,14.8,4,27,3,7.33,4.5,1.67,0.33,0,1.33,2.17,5,1,0,62.3,2,13.8,33,21.3,2.33,59.7,0.67,1.33,50,0.67,0,45.7,221.2,133.3,5.5,3.33,0.17,1.33,2,50.5,44.7,88.4,3.83,0.33,0,0,1.5,1.17,0.5,2.5,1.5,0,0,0,6.67,0.67,2.33,22.2
1341,Jean-Armel Kana-Biyik,CMR,DF,Metz,Ligue 1,32,1989,10,8,664,7.4,0,0.14,0,0,0,0,14,0,0,0,37.4,42.3,88.5,775,230.8,10.3,11.4,90.5,22.2,23.2,95.3,4.86,7.3,66.7,0,0,0,0,0,0.95,42.3,40.7,1.62,1.35,0,1.76,0.41,0,0,0,0,0,34.7,2.97,4.59,7.84,32.8,0.95,0.27,0,37.4,0,0.81,0.81,0.41,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,1.89,1.76,1.35,0.54,0,0.68,1.62,41.7,0.95,9.46,3.65,38.6,6.22,3.24,0,2.16,0.81,0,1.35,3.51,5.41,3.65,0.14,52.7,7.97,35.1,19.7,0.81,0.14,51.1,0.27,0.41,66.7,0.27,0,32.6,138.4,55,0.95,0.27,0,0,0.27,32,31.6,98.7,0.27,0.14,0,0,0.54,1.08,0,0,1.76,0,0,0,7.84,0.95,0.68,58.3
1342,Nordine Kandil,FRA,MFFW,Strasbourg,Ligue 1,20,2001,5,0,90,1,0,1,0,0,0,0,16,0,0,0,49,67,73.1,811,317,28,32,87.5,16,24,66.7,5,7,71.4,1,1,8,2,0,9,67,64,3,1,1,7,0,3,2,2,0,0,45,10,12,63,4,0,0,0,49,0,1,2,3,5,4,0,0,0,1,0,4,3,0,0,0,1,0,1,0,1,0,0,1,1,100,0,19,6,31.6,1,10,8,1,1,0,0,1,2,0,0,85,2,11,40,43,3,82,1,7,14.3,2,1,69,380,193,15,5,0,3,5,76,68,89.5,10,1,0,0,1,2,0,3,0,0,0,0,11,0,1,0
1353,Eiji Kawashima,JPN,GK,Strasbourg,Ligue 1,39,1983,1,1,90,1,0,0,0,0,0,0,0,0,0,0,28,31,90.3,677,319,4,4,100,17,17,100,7,10,70,0,0,0,0,0,0,31,21,10,3,0,0,0,0,0,0,0,0,25,2,4,2,23,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,31,0,0,0,21,0,0,0,0,0,17,68,42,0,0,0,0,0,15,15,100,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
1358,Ilan Kebbal,ALG,MFFW,Reims,Ligue 1,23,1998,31,21,1772,19.7,0.05,1.37,0.3,22.2,0.04,0.17,18.9,0,0,0,31.6,42.6,74.2,540.7,190.8,15.5,19.2,80.7,11.2,14,79.7,3.65,6.29,58.1,0.2,1.73,3.5,2.13,0.3,5.03,42.6,39.5,3.1,1.07,0.15,8.07,1.12,1.83,1.52,0.61,0.56,0.05,30.2,6.7,5.74,33.8,7.21,0.86,0.2,0.51,31.6,0.1,0.66,2.18,2.23,3.96,2.49,0.41,0.41,0.2,0.25,0.2,0.36,0.2,0.05,0,0.05,0.05,0,1.68,1.07,0.66,0.51,0.51,0.36,2.03,17.5,1.68,20.2,5.38,26.7,5.43,9.44,5.28,0.96,0,0,0.96,0.96,2.64,0.25,0,54.9,0.81,7.51,28.7,24,2.54,52,1.83,2.84,64.3,1.98,0,42.5,227,127.5,6.75,2.59,0.46,2.34,2.18,50.1,40.6,81,5.38,0.05,0,0,0.76,2.59,0.36,1.83,1.07,0.05,0,0,7.01,0.2,1.07,16
1360,Thilo Kehrer,GER,DF,Paris S-G,Ligue 1,25,1996,27,16,1513,16.8,0.12,0.54,0.24,44.4,0.22,0.5,13.1,0,0,0,68.7,72.3,95,1196.2,327.3,29.3,30,97.8,33.2,34.8,95.4,5.06,5.95,85,0,0.06,3.21,0.06,0,2.26,72.3,69,3.33,0.95,0,6.43,0.89,0.3,0,0,0,0,64.1,5.71,2.5,21.7,45.4,1.61,2.38,0.12,68.7,0,0.54,0.6,0.42,0.54,0.42,0.06,0,0.06,0,0,0.06,0.06,0,0,0,0,0,1.67,1.13,0.65,0.65,0.36,0.54,1.25,42.9,0.71,10.7,3.93,36.9,4.7,3.87,2.08,1.37,0.71,0,0.65,1.79,3.45,1.9,0,80.2,6.67,30,44.4,10.1,1.13,77,0.24,0.36,66.7,0.24,0,58.8,247,114.3,3.63,0.77,0.12,0.36,0.6,64.8,62.7,96.7,1.49,0,0,0,0.95,0.65,0,0.3,1.13,0,0,0,6.07,1.9,1.01,65.3
1361,Habib Keita,MLI,MFFW,Lyon,Ligue 1,20,2002,3,0,7,0.1,0,20,20,100,0,0,17.4,0,0,0,60,60,100,930,190,30,30,100,20,20,100,0,0,0,0,0,0,0,0,0,60,60,0,0,0,10,0,0,0,0,0,0,50,10,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,10,30,40,10,80,0,0,0,0,0,40,90,40,0,0,0,0,0,90,80,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1371,Saîf-Eddine Khaoui,TUN,MFFW,Clermont Foot,Ligue 1,27,1995,23,9,927,10.3,0.1,1.84,0.68,36.8,0.05,0.14,18.4,0.19,0,0,28.3,38.4,73.5,451.4,129,15.3,17.9,85.9,8.25,10.9,75.9,3.01,6.8,44.3,0,1.36,1.46,0.78,0.1,1.94,38.4,33.3,5.15,1.94,0.1,6.89,1.17,1.36,3.01,1.46,0.58,0,27.1,4.27,7.09,33.6,3.2,0.97,0.1,0.49,28.3,0.1,0.68,1.75,0.97,2.91,1.26,0.97,0.19,0.19,0.29,0,0.1,0.1,0,0,0,0,0,2.23,1.75,0.68,0.97,0.58,0.49,1.46,33.3,0.97,17.7,4.85,27.5,3.59,8.35,5.73,0.97,0,0,0.97,1.75,3.98,0.49,0,50.3,0.58,6.31,25.6,20.4,3.11,45.4,1.36,1.75,77.8,1.36,0,28.2,112.7,50,2.91,0.68,0.29,1.84,1.17,39.9,33,82.7,6.41,0.1,0,0,1.17,1.46,0,1.36,1.75,0,0,0,5.73,0.19,0.87,18.2
1372,Wahbi Khazri,TUN,FWMF,Saint-Étienne,Ligue 1,31,1991,30,26,2225,24.7,0.4,2.83,0.73,25.7,0.09,0.33,23.3,0.36,0.16,0.16,17.4,25.2,69.1,315.3,90,8.83,10.7,82.6,5.26,7.49,70.3,2.47,5.02,49.2,0,1.3,1.9,1.01,0.16,2.35,25.2,21.5,3.64,0.32,0.16,5.63,1.74,1.66,0.85,0.28,0.32,0.04,15,4.17,6.03,1.9,21.1,0.77,0.81,0.2,17.4,0.08,0.89,1.46,0.77,2.79,1.82,0.2,0.24,0.24,0.24,0.04,0.12,0.04,0,0,0,0.04,0.04,1.26,0.81,0.16,0.69,0.4,0.32,1.26,25.8,0.93,15.3,4.49,29.3,1.46,6.56,7.33,0.65,0,0,0.65,0.89,2.15,0.2,0,39.1,0.45,3.28,19.6,19.4,3.97,35.2,1.09,2.51,43.5,1.21,0.08,26.7,146.8,83.2,4.62,1.38,1.01,3.16,2.55,42.3,26.4,62.5,6.32,0.24,0,0,0.85,1.98,0.89,1.66,0.81,0.04,0,0,5.51,0.65,1.54,29.6
1379,Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,26,1995,30,29,2576,28.6,0.03,0.24,0.03,14.3,0.14,1,9.1,0,0,0,75.9,78.4,96.8,1403.3,441.2,29.7,30.4,97.6,37.8,38.6,97.8,7.52,8.15,92.3,0,0.1,5.49,0.17,0.07,3.6,78.4,75.6,2.76,1.85,0,5.45,0.87,0.07,0,0,0,0,71.1,4.51,2.76,65.5,9.27,1.68,0.87,0.07,75.9,0,0.28,0.42,0.28,0.63,0.56,0.07,0,0,0,0,0.1,0.1,0,0,0,0,0,1.36,0.73,0.8,0.49,0.07,0.49,0.84,58.3,0.35,6.92,1.89,27.3,3.46,2.83,0.63,0.94,0.56,0,0.38,1.89,3.25,2.9,0.03,86,9.62,32.9,54.9,3.64,0.49,83.7,0.28,0.45,61.5,0.31,0,63.7,344.5,190.9,4.72,0.52,0.07,0.24,0.17,69.3,68.4,98.7,0.35,0.21,0,0,1.05,0.94,0,0.07,0.73,0,0.07,0,7.1,1.89,0.77,71.1
1387,Thibault Klidje,TOG,DFFW,Bordeaux,Ligue 1,20,2001,5,0,86,1,0,1,0,0,0,0,23,0,0,0,29,39,74.4,529,97,10,12,83.3,14,17,82.4,4,9,44.4,0,4,1,2,0,5,39,35,4,0,0,7,1,7,0,0,0,0,30,3,6,3,31,1,3,0,29,0,2,1,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,12,5,41.7,2,5,5,1,1,0,0,2,3,1,0,58,0,4,18,41,9,54,3,8,37.5,3,0,45,266,153,13,2,4,2,2,48,38,79.2,17,0,0,0,3,4,1,7,1,0,0,0,9,2,6,25
1391,Justin Kluivert,NED,MF,Nice,Ligue 1,23,1999,27,24,1868,20.8,0.19,1.44,0.48,33.3,0.13,0.4,17.9,0.1,0,0,21.6,33.6,64.4,405.8,122.5,10.4,12.5,83.4,7.55,10.8,69.8,3.08,8.22,37.4,0.24,1.73,1.3,1.15,0.63,2.26,33.6,27,6.63,1.83,0,5.96,3.37,3.89,3.99,1.78,1.59,0.14,18.9,4.95,9.71,4.81,26.2,0.87,0.82,0.29,21.6,0.14,1.2,1.35,1.35,2.98,1.59,1.06,0.14,0.1,0.1,0,0.38,0.19,0.14,0.05,0,0,0,1.15,0.58,0.53,0.53,0.1,0.24,0.87,27.8,0.63,16.2,3.89,24.1,3.46,8.46,4.23,1.44,0.05,0,1.39,1.15,2.31,0.24,0,45.4,0.82,5.58,18.5,26.3,3.03,39.2,1.59,3.46,45.8,1.83,0.19,30.5,211.6,139.5,6.35,2.55,0.77,1.88,1.88,37.9,29.2,76.9,5.58,0.29,0.05,0,2.12,1.49,0.24,3.89,0.58,0,0.05,0,4.9,0.96,0.82,54.1
1398,Samuel Koeberlé,FRA,MF,Reims,Ligue 1,17,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,7,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1399,Philippe Koffi,FRA,FW,Reims,Ligue 1,20,2002,10,3,375,4.2,0.24,2.14,0.48,22.2,0.11,0.5,14.3,0,0,0,12.1,19,63.8,165.2,19.5,7.62,10,76.2,2.14,4.52,47.4,0.95,1.67,57.1,0,0.95,0.24,0.48,0,0.48,19,17.9,1.19,0,0,6.43,0,0.95,0,0,0,0,12.4,2.62,4.05,3.1,13.3,0.71,0,0.24,12.1,0,1.19,0.71,1.43,3.1,1.67,0,0.24,0.48,0.71,0,0.24,0,0,0,0.24,0,0,1.19,0.48,0,1.19,0,0,0.71,0,0.71,19.3,4.76,24.7,0.95,9.05,9.29,0.95,0.24,0,0.71,0.71,1.9,0.71,0,35,0.95,2.86,15.7,18.6,5.48,33.8,1.19,1.9,62.5,1.43,0,24,105.2,59.8,2.86,0.71,0.95,4.29,1.67,49.5,24.8,50,9.05,0.24,0,0,1.9,3.57,1.67,0.95,0.48,0,0,0,4.05,1.9,3.1,38.1
1405,Sead Kolainac,BIH,DF,Marseille,Ligue 1,28,1993,14,6,440,4.9,0,0,0,0,0,0,0,0,0,0,39.2,50.2,78,612.7,174.5,20.8,23.7,87.9,15.9,21,75.7,1.63,3.47,47.1,0.2,0.82,2.24,1.02,0.41,2.45,50.2,44.1,6.12,0.61,0,4.29,0.61,2.65,0,0,0,0,34.5,9.59,6.12,35.3,4.29,4.29,5.51,0,39.2,0.41,1.02,2.04,1.22,1.43,1.22,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,1.22,1.02,0.61,0.2,0.41,0.82,1.43,57.1,0.61,13.3,4.69,35.4,4.49,3.47,5.31,0.82,0,0,0.82,0.61,1.84,1.43,0.2,57.8,2.04,13.7,26.9,20.2,2.45,51.8,0.2,0.82,25,0.2,0,35.7,154.3,81.4,4.69,1.84,0.82,1.43,1.22,42.4,37.8,88.9,3.06,0,0,0,1.43,0.82,0,2.65,1.02,0,0,0,8.57,1.43,0.2,87.5
