Rk,Player,SoT,Norm_SoT_Rk,SoT%,PasTotCmp%,PasLonCmp%,PasProg,PassProgRk,PassProg%,GCA,GCA_rk,GCA%,DriSucc%,Carries,Carries_rk,Carries%,Recov,Recov_rk,Recov%,Nation,Pos,Club,League,Age,Recov
40,Marley Aké,0,1,0,76.5,100,3.33,1953,66.87221651,0,1,0,0,20,459,15.6903049,4.44,495,16.92360397,FRA,MFFW,Juventus,Serie A,21,4.44
41,Nathan Aké,0.19,1465,50.15416238,91.2,81.6,3.01,1774,60.73997945,0,1,0,0,66,2848,97.53340185,7.57,1547,52.96334361,NED,DF,Manchester City,Premier League,27,7.57
42,Ilias Akhomach,1.43,2847,97.49914354,84.9,40,4.29,2413,82.63103803,0,1,0,33.3,45,2379,81.46625557,7.14,1369,46.86536485,ESP,FW,Barcelona,La Liga,18,7.14
43,Maghnes Akliouche,1.67,2884,98.76670092,90.9,50,6.67,2827,96.81397739,0,1,0,25,48.3,2526,86.50222679,6.67,1184,40.52757794,FRA,MFFW,Monaco,Ligue 1,20,6.67
44,Paul Akouokou,0,1,0,87.5,76.7,4.91,2591,88.72901679,0,1,0,66.7,45.3,2406,82.39122987,9.65,2253,77.1497088,CIV,MF,Betis,La Liga,24,9.65
45,Jean-Daniel Akpa-Akpro,0,1,0,81.4,66.7,0.86,560,19.15039397,0,1,0,58.3,33.7,1581,54.12812607,6.86,1270,43.47379239,CIV,MF,Lazio,Serie A,29,6.86
46,Kevin Akpoguma,0.24,1630,55.80678314,77.5,55.9,4.65,2532,86.70777664,0.24,2059,70.50359712,51.4,37.8,1923,65.84446728,8.47,1856,63.54916067,NGA,DF,Hoffenheim,Bundesliga,27,8.47
47,David Alaba,0.2,1504,51.49023638,91.7,75.8,3.47,2047,70.09249743,0.27,2176,74.51181912,62.5,54.4,2704,92.60020555,6.43,1118,38.26652963,AUT,DF,Real Madrid,La Liga,29,6.43
48,Sofiane Alakouch,0,1,0,82.4,40,2.22,1250,42.78862624,0,1,0,40,48.9,2558,87.59849263,8.89,2007,68.72216513,MAR,DFMF,Metz,Ligue 1,23,8.89
49,Tomás Alarcón,0.13,1255,42.95991778,71.4,55.4,2.47,1426,48.81808839,0.19,1849,63.30935252,44.4,25.7,875,29.94176088,10.2,2453,84.00137033,CHI,MF,Cádiz,La Liga,23,10.2
50,Lucas Alario,1.78,2893,99.07502569,68.4,28.6,0.96,595,20.34943474,0.55,2716,93.01130524,84.6,22.5,640,21.89105858,3.42,287,9.797875985,ARG,FW,Leverkusen,Bundesliga,29,3.42
51,Jordi Alba,0.2,1504,51.49023638,84.3,63.2,8.64,2870,98.28708462,0.44,2570,88.00959233,31.8,64.7,2835,97.08804385,9.18,2126,72.79890373,ESP,DF,Barcelona,La Liga,33,9.18
52,Josué Albert,0,1,0,75,0,0,1,0,0,1,0,0,30,1241,42.48030147,10,2329,79.75334018,GUF,DF,Clermont Foot,Ligue 1,30,10
53,Luis Alberto,0.61,2272,77.80061665,83.1,54.3,6.9,2842,97.327852,0.61,2768,94.79273724,56.8,62.4,2818,96.50565262,7.13,1367,46.79684824,ESP,MF,Lazio,Serie A,29,7.13
54,Raúl Albiol,0.04,942,32.23706749,87.5,76.3,2.45,1413,48.37273039,0.07,1304,44.63857485,62.5,40.7,2139,73.24426173,8.83,1989,68.10551559,ESP,DF,Villarreal,La Liga,36,8.83
55,Marc Albrighton,0.08,1062,36.34806441,62.6,22.6,2.54,1502,51.42171977,0.16,1713,58.65022268,43.2,32.6,1483,50.77081192,6.11,1036,35.45734841,ENG,FWDF,Leicester City,Premier League,32,6.11
56,Paco Alcácer,0.92,2585,88.52346694,72.5,70,1.15,681,23.29564919,0.69,2814,96.36861939,57.1,15.3,246,8.393285372,3.22,245,8.359027064,ESP,FW,Villarreal,La Liga,28,3.22
57,Thiago Alcántara,0.35,1881,64.40561836,89.6,82.7,10.3,2909,99.62315862,0.35,2403,82.28845495,62.5,72.8,2874,98.42411785,12.8,2797,95.78622816,ESP,MF,Liverpool,Premier League,31,12.8
58,Rubén Alcaraz,0.49,2105,72.07947927,84.1,71.2,5.2,2673,91.53819801,0,1,0,60,44.4,2359,80.78108941,12,2743,93.93627955,ESP,MF,Cádiz,La Liga,31,12
59,Omar Alderete,0.19,1465,50.15416238,62.2,44.1,2.85,1682,57.58821514,0.07,1304,44.63857485,73.3,22,601,20.55498458,10.6,2536,86.84480987,PAR,DF,Valencia,La Liga,25,10.6
60,Iván Alejo,0.34,1861,63.72045221,58.9,30.4,1.86,1032,35.32031518,0.42,2534,86.77629325,40.5,33.2,1537,52.62076053,7.54,1533,52.4837273,ESP,MFFW,Cádiz,La Liga,27,7.54
61,Doðan Alemdar,0,1,0,73,46.9,0,1,0,0.08,1348,46.14594039,0,18.2,371,12.67557383,5.17,752,25.72798904,TUR,GK,Rennes,Ligue 1,19,5.17
62,Carles Aleñá,0.54,2184,74.78588558,80.1,65.1,2.36,1354,46.35149024,0.16,1713,58.65022268,44.1,31.2,1365,46.72833162,6.16,1050,35.93696471,ESP,MF,Getafe,La Liga,24,6.16
63,Trent Alexander-Arnold,0.44,2031,69.54436451,74.4,57.4,8.77,2872,98.35560123,0.54,2706,92.66872217,59.1,54.4,2704,92.60020555,10.1,2422,82.9393628,ENG,DF,Liverpool,Premier League,23,10.1
64,Mircea Alexandru Tirlea,0,1,0,71.4,66.7,0,1,0,0,1,0,66.7,35,1688,57.79376499,20,2886,98.83521754,ROU,DF,Alavés,La Liga,22,20
65,Mohamed Ali Cho,0.74,2409,82.4940048,70.8,37.9,0.78,532,18.19116136,0.34,2378,81.43199726,48,21.7,582,19.90407674,4.07,413,14.11442275,FRA,FW,Angers,Ligue 1,18,4.07
66,Alisson,0,1,0,86.6,66.3,0,1,0,0.03,1120,38.33504625,66.7,23.1,676,23.12435766,6.22,1062,36.34806441,BRA,GK,Liverpool,Premier League,29,6.22
67,Allan,0.12,1221,41.79513532,78.3,63.1,4.36,2437,83.45323741,0.25,2095,71.7368962,66.7,31.4,1377,47.13943131,11.2,2653,90.85303186,BRA,MF,Everton,Premier League,31,11.2
68,Jim Allevinah,0.91,2571,88.04385063,75.3,59.3,2.36,1354,46.35149024,0.18,1815,62.14457006,47.7,39.2,2019,69.13326482,5.27,781,26.72147996,GAB,FW,Clermont Foot,Ligue 1,27,5.27
69,Dele Alli,0,1,0,75,61.1,3.16,1858,63.61767729,0.26,2139,73.24426173,40,37.4,1889,64.67968482,10.3,2470,84.58376156,ENG,MF,Everton,Premier League,26,10.3
70,Dele Alli,0.27,1721,58.92428914,78,51.9,2.6,1536,52.58650223,0.14,1631,55.84104145,27.8,29.2,1167,39.94518671,6.3,1092,37.37581363,ENG,MFFW,Tottenham,Premier League,26,6.3
71,Miguel Almirón,0.37,1923,65.84446728,80.4,60.9,1.99,1108,37.92394656,0.26,2139,73.24426173,48.6,27.4,1004,34.36108256,6.39,1108,37.92394656,PAR,MFFW,Newcastle Utd,Premier League,28,6.39
72,Marcos Alonso,0.41,1988,68.07125728,77.7,46,4.44,2458,84.17266187,0.37,2435,83.38472079,48.7,43.4,2297,78.65707434,8.96,2040,69.85268928,ESP,DF,Chelsea,Premier League,31,8.96
73,Giorgio Altare,0.37,1923,65.84446728,68.8,52.6,3.5,2058,70.46933881,0,1,0,75,31.9,1424,48.74957177,12.9,2803,95.99177801,ITA,DF,Cagliari,Serie A,23,12.9
74,Hugo Álvarez,0,1,0,33.3,0,0,1,0,0,1,0,0,20,459,15.6903049,0,1,0,ESP,FW,Celta Vigo,La Liga,36,0
75,Yeray Álvarez,0,1,0,82.8,63.6,2.95,1743,59.67797191,0.05,1223,41.86365194,57.1,29.7,1215,41.58958547,12.2,2761,94.55292909,ESP,DF,Athletic Club,La Liga,27,12.2
76,Dani Alves,0.16,1358,46.48852347,84.9,56,4.84,2573,88.11236725,0.33,2352,80.54128126,76.5,68,2859,97.91024323,9.18,2126,72.79890373,BRA,DF,Barcelona,La Liga,39,9.18
